index,ISBN,제목,상품명,저자,출판사,설명,국가,장르
577,9791170524045,은랑전,은 전,켄 리우 장성주,황금가지,종이 동물원 작가 켄 리우 공식 두 SF 단편 선 당나라 섭 낭전 SF 풀다 내다 단편 은 전 포함 13 편의 SF 단편 동시 주목 받다 SF 환상문학 작가 켄 리우 두 편집 은 전 추다 간 되어다,중국,SF
578,9788954683142,네 마음에 새겨진 이름,네 마음 새기다 이름,디 퍼 조은,문학동네,온몸 끓다 첫사랑 번민 희다 열 분노 고통 뒤 섞이다 청춘 서툴다 날갯짓 타이완 영화사 새롭다 기록 세운 영화 마음 새기다 이름 원작 소설 2019년 5월 24일 타이완 아시아 최초 동성결혼 법 제화 이듬해 9월 영화 마음 새기다 이름 타이완 극장 개봉 해 12월 넷플릭스 전 세계 독점 공개 영화 흥행수익 대만 달러 1억 위안 돈 43억 원 돌파 퀴어 영화 수익 1억 위안 선 넘다 타이완 영화사 최초 이렇다 많다 사랑 받다 영화 마음 새기다 이름 문학동네 소설 추다 간 되어다 1987년 여름 38년 계엄령 해제 타이완 살얼음 판 세상 금서 금지곡 풀리다 다양하다 사상 문화 포 용하다 서서히 변하다 듯 타이중 가톨릭 남자 고등학교 버디 소년 전학 오다,중국,
579,9788967355821,고독 깊은 곳,고독 깊다 곳,하오징팡 강초아,글항아리,징 은 현재 중국 주목 받다 젊다 SF 작가 2016년 SF 계 노벨상 불리다 최고 권위 SF 문학상 휴고상 Hugo Award 중편소설 부문 수상하다 이름 알려지다 해 전인 2015년 류츠신 삼체 휴고상 장편소설 부문 수상한 2년 연속 중국 작가 수상 더욱 화제 되어다 고독 깊다 곳 은 징 2010년 2016년 발표 중 단편소설 묶다 내다 소설 집 휴고상 수상작 접다 도시 가다 수록 첫 책 소설 과학기술 엄격하다 정밀 설정 묘사 특징 하드 SF 인물 감정 집중 풀다 사회과학 기반 소프트 SF 속 볼,중국,SF
580,9788972437994,초판본 삼국지 1~3 세트,초 판본 삼국지 1 3 세트,나관중 김광주 정준용 그림,서문당,고금 어떻다 소설 스케일 박진 감 나관중 삼국지 능가 수많다 인물 등장 성격 다양하다 잃다 의표 찌르다 술책 방략 지혜 미련 함 배신 음모 인간 모든 속성 뒤 얽히다 황하 장대 드라마 엮어내 삼국지 관 많다 읽다 들다 공통 아득하다 추억 남아 다양하다 책 나오다 여러 종류 삼국지 존재 등장인물 700 명 인물 두다 가지 직함 가지 배경 나오다 지명 강 산 360 개 흔하다 복잡다단하다 인물 사건 가리키다 삼국지 늘다 말 쓰다 경우 거창하다 갈피 잡 복잡하다 속 오늘날 오다 고색 창연 골동품 늘다 엄숙하다 인간 영원하다 모습 약동 음 부인,중국,
581,9788954696043,번화 2,번 2,진위청 김태성,문학동네,마음 살로 되어다 상하이 위험하다 필요하다 갖가지 기적 일어나다 곳 요 왕가위 감독 영화 드라마 예정 화양연화 2046 잇다 3 부작 결정 판 도시 과거 현재 직조 해내다 상하이 데카메론 1960년 1990년 세 청춘 삶 스며들다 상하이 수많다 골목 음식 무수 민담 풍경 편린 시대 공간 현미경 들여다보다 세밀 묘사 과거 현재 직조 해내다 상하이 데카메론 번 늘다 문화 대혁명 시기 거치다 온 젊은이 삶 도시 풍경 진솔 생생하다 그리다 내다 작가 진위 청 대표 작 마오둔 문학상 상 루쉰 문화상 연도 소설 수상하다 왕가위 감독 영화 드라마 판권 확보 전작 화양연화 2046 잇다 작품 영상 화하다 예정,중국,
582,9788937460715,버스 정류장,버스 정류장,가오싱젠 오수경,민음사,동양 전통 사상 정서 현대 부조리극 형상 대표 희곡 수록 중국 정치 현실 맞서다 망명 작가 향수 상실 고통 배다 수작 운명 알다 두렵다 버스 정류장 은 2000년 동양인 번 노벨 문학상 수상한 가오싱젠 대표 희곡 묶다 책 가오싱젠 정치 문제 조국 중국 떠나다 현재 프랑스 파리 거주 활발하다 작품 활동 화가 명성 얻다 망명 작가 중국 전통 사상 현대 부조리극 결합 희곡 작품 중국 프랑스 독일 등지 무대 올리다 호평 받다 바 우리나라 지난 9월 작품 비상 경보 국내 절대 신호 제목 공연 가다 연극 무대 올리다 버스 정류장 은 국내 처음 번역 추다 간 가오싱젠 대표 희다 곡선,중국,
583,9788972914037,대륙의 딸 (상),대륙 딸 상,장융 황의방 등역,까치(까치글방),대륙 딸 은 20 세기 최고 기록 문학 손꼽다 작품 외할머니 어머니 저자 이어지다 3 대다 걸치다 여인 삶 속 중국 근대사 고스 란 녹다 저자 1978년 중국 떠나다 영국 건너가다 영국 학위 받다 정착 10년 저자 이전 삶 모르다 체 살아가다 시절 기억 떠올리다 고통스럽다 어머니 영국 방문 외할머니 어머니 삶 들다 저자 쓰기 결심 과거 돌아가다,중국,역사
584,9788972914044,대륙의 딸 (하),대륙 딸,장융 황의방 등역,까치(까치글방),대륙 딸 은 20 세기 최고 기록 문학 손꼽다 작품 외할머니 어머니 저자 이어지다 3 대다 걸치다 여인 삶 속 중국 근대사 고스 란 녹다 저자 1978년 중국 떠나다 영국 건너가다 영국 학위 받다 정착 10년 저자 이전 삶 모르다 체 살아가다 시절 기억 떠올리다 고통스럽다 어머니 영국 방문 외할머니 어머니 삶 들다 저자 쓰기 결심 과거 돌아가다,중국,역사
585,9788932322391,밤 여행자 2,밤 여행자 2,자오시즈 이현아,달다,해 지고 달이 뜰 운명 규칙 산만하다 시계 추 두 개 시공 두드리다 시공 잠들다 시공 깨어나다 밤 10시 만날 1937년 7월 11일 상하이 699 번지 아파트 밤 10시 정각 성칭 학회 집 돌아오다 현관 꺼지다 2015년 7월 11일 상하이 699 번지 아파트 밤 10시 정각 쭝잉 살인 사건 현장 돌아오다 현관 깜박 거 렸다 두 개 시공간 똑같다 현관 꺼지다 깜박이다 순간 성칭 2015년 현대 이동 아침 6시 살다 시대 돌아가다 밤 10시 돌연 나타나다 아침 6시 사라지다 시공 초월 밤 여행자 날 불쑥 삶 끼어들다 원인 모르다 지속 모르다 설명 수도 공간 교차,중국,
586,9788934991144,천룡팔부 1~10 세트,천룡팔부 1 10 세트,김용 이정원,김영사,김용 유니버스 결정 판 천룡팔부 국내 최초 정식 추다 간 완역 무협소설 예술 경지 승화 불멸 고전 중국 문화 사의 일대 기적 극찬 전 세계 3억 부 판매 기록 중국문학 금 탑 중국 셰익스피어 중국 톨 기다 불리다 필 김용 수많다 작품 가운데 방대하다 지식 인문학 소양 바탕 새롭다 역사 판타지 창조 찬사 받다 천룡팔부 국내 정식 추다 간 완역 북송 요나라 분쟁 기르다 배경 단예 허다 죽 봉 교봉 세 영웅 모험 격정 의리 기개 사랑 증오 넘다 들다 인간 애 대장정 광활하다 스케일 유장 호흡 속 펼쳐지다 인간 상의 희로애락 유불선 사상 롯 녹이다 내다 필 김용 문학 시원 만날,중국,
587,9788932322384,밤 여행자 1,밤 여행자 1,자오시즈 이현아,달다,해 지고 달이 뜰 운명 규칙 산만하다 시계 추 두 개 시공 두드리다 시공 잠들다 시공 깨어나다 밤 10시 만날 1937년 7월 11일 상하이 699 번지 아파트 밤 10시 정각 성칭 학회 집 돌아오다 현관 꺼지다 2015년 7월 11일 상하이 699 번지 아파트 밤 10시 정각 쭝잉 살인 사건 현장 돌아오다 현관 깜박 거 렸다 두 개 시공간 똑같다 현관 꺼지다 깜박이다 순간 성칭 2015년 현대 이동 아침 6시 살다 시대 돌아가다 밤 10시 돌연 나타나다 아침 6시 사라지다 시공 초월 밤 여행자 날 불쑥 삶 끼어들다 원인 모르다 지속 모르다 설명 수도 공간 교차,중국,
588,9788934991700,사조영웅전 2,사조영웅전 2,김용 김용소설번역연구회,김영사,중국 문학 찬란하다 금 영원하다 신화 김용 대표 작 국내 최초 정식 추다 간 완역 무협소설 길이 남 불멸 고전 사조영웅전 김용 작품 가운데 널리 애독 사조삼부곡 시리즈 첫 막 올린다 김용 무협 작가 널리 알려지다 계기 소설 이자 역사 허구 교묘하다 배합 눈앞 그려지다 듯 무공 묘사 개성 강하다 인물 군상 김용 스타일 확고하다 자리 잡다 작품 송 금 원 교체 기 거대하다 소용돌이 속 대의 헌신 영웅 통해 되새기다 진정하다 도 오다 의미 드넓다 중원 사막 무대 펼쳐지다 의인 협객 호쾌 모험 대결 격동 중국 역사 페이지 필 김용 붓끝 살아나다,중국,
589,9788932015149,변신 인형,변신 인형,왕멍 전형준,문학과지성사,루쉰 20 세기 중국 소설 대표 왕멍 자전 소설 국내 자다 알려지다 아시아 유력하다 노벨문학상 수상자 거 작가 삶 깊다 통찰 과감 다양하다 형식 실험 풍자 유머 거듭 치열하다 시대정신 중국 소설 새롭다 경지 보여주다 작품 20 개국 출판 되어다 중국 국가 문학상 이탈리아 일본 세계 유수 국제 문학상 여러 차례 수상하다 작품 관통 비판 현실 인식 뒷받침 다변 시점 화법 복잡하다 성격,중국,
590,9791160201048,서유기 세트,서유기 세트,오승은 홍상훈 등역,솔,원전 충실하다 정본 완역 듯 풀다 내다 삼장 일행 기상 외한 여행기 중국문학 연구 대중화 앞장 서온 홍 상훈 교수 공동 번역자 풍부하다 자료 조사 깔끔하다 번역 바탕 접 어렵다 원전 서유기 독자 생생하다 보여주다 덕분 익히다 삼장법사 오다 손오공 저팔계 사오정 전혀 성격 만나다 솔 출판사 서유기 늘다 창작 당시 역사 시대 반영 한편 다양하다 판본 비교 통해 원전 서유기 내용 오다 되살리다 통해 중생 구제 불경 찾다 떠나다 도식 주제 너머 핵심 내용 삼장법사 손오공 저팔계 사오정 둘러싸다 흥미롭다 다양하다 에피소드 더불다 시공간 초월 인간 현세 욕망 적나라하다 보여주다,중국,
591,9791195762477,악어 노트,악어 노트,추먀오진 방철환,움직씨,타이완 대항 문학 아이콘 이자 천재 작가 알려지다 추 먀오 진의 대표 장편 소설 2017년 뉴욕 번역가 의하다 판 번역 추다 가다 면서 더 펜 번역 루시 스트뤽 아시아 문학 번역 휩쓸다 화제 작품 뉴욕 타임스 미래 에너지 가득 찬 소설 이자 여성 혐오 동성애 혐오 성별 이분법 가부장제 자본주의 모순 대담하다 꿰뚫다 젠더 바이너리 문학 우수 비중 평가 바 아시안 여성 관점 계급 젠더 섹슈얼리티 비롯 통증 쾌락 깊이 드러내다 때로는 농담 우스꽝스럽다 때로는 비참하다 슬프다 때로는 자유분방하다 혁명 감수성 표 출하 작품,중국,
592,9788934991717,사조영웅전 3,사조영웅전 3,김용 김용소설번역연구회,김영사,중국 문학 찬란하다 금 영원하다 신화 김용 대표 작 국내 최초 정식 추다 간 완역 무협소설 길이 남 불멸 고전 사조영웅전 김용 작품 가운데 널리 애독 사조삼부곡 시리즈 첫 막 올린다 김용 무협 작가 널리 알려지다 계기 소설 이자 역사 허구 교묘하다 배합 눈앞 그려지다 듯 무공 묘사 개성 강하다 인물 군상 김용 스타일 확고하다 자리 잡다 작품 송 금 원 교체 기 거대하다 소용돌이 속 대의 헌신 영웅 통해 되새기다 진정하다 도 오다 의미 드넓다 중원 사막 무대 펼쳐지다 의인 협객 호쾌 모험 대결 격동 중국 역사 페이지 필 김용 붓끝 살아나다,중국,
593,9788954653008,삼생삼세 보생연 1,생 삼세 보생연 1,당칠공자 문현선,문학동네,중국 고서 산해경 도교 불교 중국 고대 전설 신화 혼합 탁월하다 상상력 섬세하다 우아하다 피다 생 삼세 세계 구축 해내다 중국 작가 많다 사랑 받다 시리즈 전작 리도 침상 시리즈 세번 생 삼세 보생연 선보이다 생 삼세 리도 등장 주변 인물 생 삼세 보생연 주인공 전면 나서다 야화 숙부 연송 찹쌀 경단 가르치다 옥 세계관 더욱 과감 확장 돼다 중국 천지 창조 신화 전혀 생 삼세 태곳 새로이 그리다 내다 신의 세계 인간 세계 어떻다 만들어지다 시작 만날 두 세계 기어이 이어지다 현세 장대 서사 펼쳐지다,중국,
594,9788950979508,잠중록 2,잠 록 2,처처칭한 서미영,arte(아르테),가족 살해 누명 쓰다 쫓기다 소녀 황실 숨다 들다 펼쳐지다 미스터리 사극 로맨스 잠 록 전 4 권 1 2 권 아르테 동시 추다 간 되어다 남장 신분 감추다 천재 탐정 소녀 황 재다 모든 완벽하다 냉담하다 무심하다 황족 이서 두 해결 황실 기이하다 사건 사이 미묘하다 감정 그리다 내다 소설 중국 인기 로맨스 작가 처처칭한 대표 작 잠 록 은 중국 문학 사이트 텐센트 QQ 독서 장웨 iReader 베스트셀러 1 위 차지 회수 1억 뷰 돌파 인기 힘 입다 웹툰 제작 되어다 현재 소설 만화 장수 500만 넘기다 종이 책 추다 간 되어다 80만 부 판매 되어다,중국,로맨스
595,9788934991748,사조영웅전 6,사조영웅전 6,김용 김용소설번역연구회,김영사,중국 문학 찬란하다 금 영원하다 신화 김용 대표 작 국내 최초 정식 추다 간 완역 무협소설 길이 남 불멸 고전 사조영웅전 김용 작품 가운데 널리 애독 사조삼부곡 시리즈 첫 막 올린다 김용 무협 작가 널리 알려지다 계기 소설 이자 역사 허구 교묘하다 배합 눈앞 그려지다 듯 무공 묘사 개성 강하다 인물 군상 김용 스타일 확고하다 자리 잡다 작품 송 금 원 교체 기 거대하다 소용돌이 속 대의 헌신 영웅 통해 되새기다 진정하다 도 오다 의미 드넓다 중원 사막 무대 펼쳐지다 의인 협객 호쾌 모험 대결 격동 중국 역사 페이지 필 김용 붓끝 살아나다,중국,
596,9791159921421,햇빛 어른거리는 길 위의 코끼리,햇빛 어른거리다 길 위 코끼리,우밍이 허유영,알마,대만 대표 작가 우밍이 선사 세월 마술 사라지다 타이베이 랜드마크 중화 창 곳 펼쳐지다 열 편의 마술 대만 최초 2018 맨부커상 후보 오른 작가 우밍 첫 한국어 판 소설 집 햇빛 어른거리다 길 위 코끼리 늘다 대만 대표 작가 우밍이 첫 한국어 판 소설 집 상가 삶 터전 인간 군상 통해 생명력 가득하다 80년 타이베이 모습 재 조명하 작품 책 타이베이 랜드마크 불리 1992년 사라지다 상가 건물 중화 창 배경 열 편의 소설 수록 되어다 저자 우밍이 2018 맨부커상 인터내셔널 부문 후보 선정 되어다 후보 13 명 중 아시아 작가 한강 우밍 단 우밍이 대만 작가 최초 맨부커상 후보 계기 세계 작가 임 입증 책 9 개 언어 번역 되어다 가치 인정받다,중국,
597,9791165796860,마술 피리,마술 피리,찬호께이 문현선,검은숲,중국어권 NO 1 작가 찬호 표 추리 세계 원점 악의 찬 범죄 치밀하다 논리 상세 고증 재 해석 세 편의 기묘하다 동화 범죄소설 13 67 사회 문제 다루다 미스터리 망 내인 공포소설 염소 웃다 순간 늘 변화 모습 보여주다 찬호 동화 추리 새롭다 엮 내다 신작 마술 피리 동화 속 범죄 사건 추리 파일 늘다 작가 추리 세계 원점 잭 콩 나무 살인 사건 비롯 동화 추리 세 편 권 모으다 섬세하다 철저하다 고증 중세시대 미신 자아내다 두운 분위기 되살리다 뿐 침대 맡다 들다 자다 재다 성함 본격 미스터리 새롭다 바람 불러일으키다 호평 받다,중국,추리 미스터리
598,9788954645935,삼생삼세 십리도화,생 삼세 리도,당칠공자 문현선,문학동네,내다 남다 싶다 내 원하다 아름답다 순간 사랑 믿다 여자 기쁘다 순간 미소 짓다 법 모르다 남자 피 사랑 빠지다 2017년 중국 드라마 최고 화 제작 원작 소설 동영상 누적 조회 400억 뷰 돌파 110만 부 판매 밀리언셀러 생 삼세 리도 생 삼세 세 번의 삶 리도 복숭아꽃 십리 가득 흐 드럽다 피다 가슴 송이 충분하다 늘다 본문 문장 암시 듯 소설 사랑 지키다 생 삼세 리도 늘다 바 허다 85 1985년 1989년 출생 세대 작가 정확하다 나이 알려지다 작가 공자 필명 작품,중국,
599,9788971847268,세상사는 연기와 같다,상사 연기 같다,위화 박자영,푸른숲,상사 연기 늘다 1980년 발표 위화 중편소설 편 모으다 소설 집 당시 위화 환상 가깝다 시공간 엽기 인물 잔인하다 사건 죽음 연쇄 점철 중단 편 소설 발표 선봉 파 소설 대표 작가 부상 삶 진실 일상 이면 자리 믿다 위화 기존 소설 형식 파괴 현실 논리 설명 인물 사건 배치 보편 세계관 가치 전복 의도 분명하다 실리다 편의 소설 경향 대표 작품 위화 초기 문학,중국,
600,9788908042285,초한지 5,초한지 5,정비석,범우사,불륜 사생아 태어나다 소년 정 생 부인 여불위 죽이다 가면 인류 역사상 밉다 증 유의 웅대 통일 전제국가 이루다 가다 과정 곳곳 궁 꾸미다 아방궁 실체 그러하다 거대 국가 진 불과 10년 붕괴 말다 역사 흐름 소설 통해 읽다 항우 유방 인간 경영 비책 풍운 중첩 파란 만장 흥망 성쇠 역사 바탕 인간 사의 철리 꿰뚫다 볼,중국,
601,9788934989431,녹정기 세트,녹정기 세트,김용 이덕옥,김영사,마침내 김용 유니버스 대미 장식 국내 최초 정식 추다 간 완역 중국 문학 영원하다 신화 김용 남기다 최후 대작 녹정기 새롭다 무협 향 김용 끝없다 실험 종지부 찍다 위 소보 안티히어로 탄생 김용 유니버스 대미 장식 청나라 최 전성기 배경 역사 사건 허구 상상력 절묘하다 융합 필 최고 경지 역작 한국 김용 팬 손꼽다 기다리다 온 녹정기 국내 정식 추다 간 완역 청나라 초기 패권 쥐다 만주족 황실 명나라 되찾다 한족 백성 항쟁 계속 시대 황실 백성 양쪽 편 넘다 들다 화려하다 언변 번뜩이다 기지 천하 주름 잡다 소년 위 소보 모험 활 펼쳐지다 세트 구매 녹정기 특별 부록 천하 품 진정하다 영웅 찾다 가다 제공,중국,
602,9791160201062,서유기 2,서유기 2,오승은 홍상훈 등역,솔,원전 충실하다 정본 완역 듯 풀다 내다 삼장 일행 기상 외한 여행기 중국문학 연구 대중화 앞장 서온 홍 상훈 교수 공동 번역자 풍부하다 자료 조사 깔끔하다 번역 바탕 접 어렵다 원전 서유기 독자 생생하다 보여주다 덕분 익히다 삼장법사 오다 손오공 저팔계 사오정 전혀 성격 만나다 솔 출판사 서유기 늘다 창작 당시 역사 시대 반영 한편 다양하다 판본 비교 통해 원전 서유기 내용 오다 되살리다 통해 중생 구제 불경 찾다 떠나다 도식 주제 너머 핵심 내용 삼장법사 손오공 저팔계 사오정 둘러싸다 흥미롭다 다양하다 에피소드 더불다 시공간 초월 인간 현세 욕망 적나라하다 보여주다,중국,
603,9788932923437,황니가,황니,찬쉐 김태성,열린책들,노벨 문학상 수상 유력 후보 찬쉐 시작 모든 현대 문학계 혁신 고도 중요하다 소설가 이자 노벨 문학상 수상 유력 후보 중 명 꼽히다 찬쉐 이렇다 데뷔 이자 문학 세계 정수 보이다 주다 작품 황니 가다 열리다 책 추다 간 되어다 소설 황니 거리 왕쯔광 존재 기다리다 서서히 죽음 소멸 향 나아가다 모습 린다 황니 늘다 난해하다 섬세하다 묘사 풍부하다 이미지 바탕 정교하다 탁 철학 사유 작품 속 스며들다 작품 전환 비약 가득 차 소설 자다 읽다 실 내면 겉 드러나다 완고하다 치밀하다 논리 숨다 음 깨닫다,중국,
604,9788950979522,잠중록 4,잠 록 4,처처칭한 서미영,arte(아르테),재다 내 생 크다 실수 이자 크다 행운 소용돌이 거세 휘 몰아치다 미스터리 사극 로맨스 핏빛 운명 속 두 마지막 비녀 기록 가족 살해 누명 쓰다 쫓기다 소녀 황실 숨다 들다 펼쳐지다 미스터리 사극 로맨스 잠 록 4 마지막 권 아르테 추다 간 되어다 남장 신분 감추다 천재 탐정 소녀 황 재다 모든 완벽하다 냉담하다 무심하다 황족 이서 두 해결 기이하다 사건 사이 미묘하다 감정 그리다 내다 소설 중국 인기 로맨스 작가 처처칭한 대표 작 잠 록 은 중국 문학 사이트 텐센트 QQ 독서 장웨 iReader 베스트셀러 1 위 차지 회수 1억 뷰 돌파 인기 힘 입다 웹툰 제작 되어다 현재 소설 만화 장수 500만 넘기다 종이 책 추다 간 되어다 80만 부 판매 되어다 드라마 제작 크랭크 앞두다,중국,
605,9788950979515,잠중록 3,잠 록 3,처처칭한 서미영,arte(아르테),가족 살해 누명 쓰다 쫓기다 소녀 황실 숨다 들다 펼쳐지다 미스터리 사극 로맨스 잠 록 3 전 4 권 아르테 추다 간 되어다 남장 신분 감추다 천재 탐정 소녀 황 재다 모든 완벽하다 냉담하다 무심하다 황족 이서 두 해결 기이하다 사건 사이 미묘하다 감정 그리다 내다 소설 중국 인기 로맨스 작가 처처칭한 대표 작 잠 록 은 중국 문학 사이트 텐센트 QQ 독서 장웨 iReader 베스트셀러 1 위 차지 회수 1억 뷰 돌파 인기 힘 입다 웹툰 제작 되어다 현재 소설 만화 장수 500만 넘기다 종이 책 추다 간 되어다 80만 부 판매 되어다 드라마 제작 크랭크 앞두다,중국,
606,9788971847282,내게는 이름이 없다,내다 이름 없다,위화 이보경,푸른숲,훗날 장편소설 마찬가지 무대 변두리 허름 동네 등장인물 가지다 거 지다 목숨 어딘가 모르다 부족하다 이상하다 한심하다 인생 위화 볼품 삶 단순하다 소박하다 화려하다 수식 이렇다 감정 표현 담담하다 그리다 내다 작품 부풀다 가슴 안고 위풍 당당하다 세상 발 디디다 주인공 이해 상황 맞닥뜨리 태어나다 처음 세상 불합리 모순 경험 모습 생생하다 그려지다 성장 소설 일반 도식 멀다 길 떠나다,중국,
607,9788934991731,사조영웅전 5,사조영웅전 5,김용 김용소설번역연구회,김영사,중국 문학 찬란하다 금 영원하다 신화 김용 대표 작 국내 최초 정식 추다 간 완역 무협소설 길이 남 불멸 고전 사조영웅전 김용 작품 가운데 널리 애독 사조삼부곡 시리즈 첫 막 올린다 김용 무협 작가 널리 알려지다 계기 소설 이자 역사 허구 교묘하다 배합 눈앞 그려지다 듯 무공 묘사 개성 강하다 인물 군상 김용 스타일 확고하다 자리 잡다 작품 송 금 원 교체 기 거대하다 소용돌이 속 대의 헌신 영웅 통해 되새기다 진정하다 도 오다 의미 드넓다 중원 사막 무대 펼쳐지다 의인 협객 호쾌 모험 대결 격동 중국 역사 페이지 필 김용 붓끝 살아나다,중국,
608,9788950979492,잠중록 1,잠 록 1,처처칭한 서미영,arte(아르테),가족 살해 누명 쓰다 쫓기다 소녀 황실 숨다 들다 펼쳐지다 미스터리 사극 로맨스 잠 록 전 4 권 1 2 권 아르테 동시 추다 간 되어다 남장 신분 감추다 천재 탐정 소녀 황 재다 모든 완벽하다 냉담하다 무심하다 황족 이서 두 해결 황실 기이하다 사건 사이 미묘하다 감정 그리다 내다 소설 중국 인기 로맨스 작가 처처칭한 대표 작 잠 록 은 중국 문학 사이트 텐센트 QQ 독서 장웨 iReader 베스트셀러 1 위 차지 회수 1억 뷰 돌파 인기 힘 입다 웹툰 제작 되어다 현재 소설 만화 장수 500만 넘기다 종이 책 추다 간 되어다 80만 부 판매 되어다,중국,로맨스
609,9788954619554,열세 걸음,열세 걸음,모옌 임홍빈,문학동네,2012 노벨문학상 수상 작가 모옌 대표 장편소설 문학동네 세계문학 전집 100 권 2012년 중국 대륙 최초 노벨문학상 수상한 모옌 품세 환상 리얼리즘 규정 이러하다 모옌 정수 담기다 작품 열세 걸음 문학동네 세계문학 전집 100 권 추다 간 되어다 참새 외발 뛰다 기르다 걸 천운 얻다 걸음 재물 운 관운 도화 운 사업 운 차례 들어오다 열세 걸음 순간 껏 들어오다 모든 운 곱절 악운 되어다 버리다 러시아 민담 모티프 환상 현실 경계 넘다 들다 중국 민중 삶 리얼 풍자 소설 동물원 갇히다 화 가다 청자 들려주다 독특하다 형식 취하 늘다 분필 씹다 삼키다 지방 소도시 지식 푸다 장츠추 가족 비극 삶 들려주다,중국,
610,9788908042377,초한지 4,초한지 4,정비석,범우사,불륜 사생아 태어나다 소년 정 생 부인 여불위 죽이다 가면 인류 역사상 밉다 증 유의 웅대 통일 전제국가 이루다 가다 과정 곳곳 궁 꾸미다 아방궁 실체 그러하다 거대 국가 진 불과 10년 붕괴 말다 역사 흐름 소설 통해 읽다 항우 유방 인간 경영 비책 풍운 중첩 파란 만장 흥망 성쇠 역사 바탕 인간 사의 철리 꿰뚫다 볼,중국,
611,9788950997458,잠중록 외전,잠 록 외전,처처칭한 서미영,arte(아르테),두 달 사건 해결 내 그대 실망하다 왕비 전하 천재 추리 소녀 펼치다 압도 미스터리 사극 로맨스 이서 황제 혼례 앞두다 날 왕온 죽 사라지다 소식 날아들다 청애 칭하 칼 거 안국 사신 부하 두 명 찌르다 사망자 두 명과 중상 명 내다 중대하다 사건 두 사건 이상하다 점 왕온 성 안과 밖 두 군데 동시 나타나다 칼 죽이다 사건 인하다 대당 전체 들썩이다 시작 이서 돈황 관활 사주 자사 승운 관련 거 추측 황 재다 보름 앞두다 혼례 미루다 위험 빠지다 왕온 돕기 사막 향 잠 록 은 비녀 기록 뜻 주인공 황 재다 추리 머리 비녀 뽑다 끼 버릇 이어지다 제목,중국,
612,9788934991861,사조영웅전 8,사조영웅전 8,김용 김용소설번역연구회,김영사,중국 문학 찬란하다 금 영원하다 신화 김용 대표 작 국내 최초 정식 추다 간 완역 무협소설 길이 남 불멸 고전 사조영웅전 김용 작품 가운데 널리 애독 사조삼부곡 시리즈 첫 막 올린다 김용 무협 작가 널리 알려지다 계기 소설 이자 역사 허구 교묘하다 배합 눈앞 그려지다 듯 무공 묘사 개성 강하다 인물 군상 김용 스타일 확고하다 자리 잡다 작품 송 금 원 교체 기 거대하다 소용돌이 속 대의 헌신 영웅 통해 되새기다 진정하다 도 오다 의미 드넓다 중원 사막 무대 펼쳐지다 의인 협객 호쾌 모험 대결 격동 중국 역사 페이지 필 김용 붓끝 살아나다,중국,
613,9788934991724,사조영웅전 4,사조영웅전 4,김용 김용소설번역연구회,김영사,중국 문학 찬란하다 금 영원하다 신화 김용 대표 작 국내 최초 정식 추다 간 완역 무협소설 길이 남 불멸 고전 사조영웅전 김용 작품 가운데 널리 애독 사조삼부곡 시리즈 첫 막 올린다 김용 무협 작가 널리 알려지다 계기 소설 이자 역사 허구 교묘하다 배합 눈앞 그려지다 듯 무공 묘사 개성 강하다 인물 군상 김용 스타일 확고하다 자리 잡다 작품 송 금 원 교체 기 거대하다 소용돌이 속 대의 헌신 영웅 통해 되새기다 진정하다 도 오다 의미 드넓다 중원 사막 무대 펼쳐지다 의인 협객 호쾌 모험 대결 격동 중국 역사 페이지 필 김용 붓끝 살아나다,중국,
614,9788908042360,초한지 3,초한지 3,정비석,범우사,불륜 사생아 태어나다 소년 정 생 부인 여불위 죽이다 가면 인류 역사상 밉다 증 유의 웅대 통일 전제국가 이루다 가다 과정 곳곳 궁 꾸미다 아방궁 실체 그러하다 거대 국가 진 불과 10년 붕괴 말다 역사 흐름 소설 통해 읽다 항우 유방 인간 경영 비책 풍운 중첩 파란 만장 흥망 성쇠 역사 바탕 인간 사의 철리 꿰뚫다 볼,중국,
615,9791186634097,동주 열국지 세트,동주 열국지 세트,풍몽룡 김구용,솔,역자 김구용 8년 걸치다 빠뜨리다 완역 세계 최초 번역본 열국지 위진남북조시대 배경 삼국지 오다 비교 해보다 열국지 늘다 춘추 전국 시대 인간 군상 등장 열국지 명신 현인 정치가 영웅호걸 의협 자객 야심 만만하다 풍운아 온갖 인간 유형 통해 인과응보 교훈 천리 천명 엄중하다 실감 나다 느끼다 중국 춘추 전국 특정 시대 특정 지역 역사 떠나다 시대 지역 초월 인간 사회 보편 흐름 인생 의미 역사 엄격하다 교훈 미래 나아가다 바르다 거듭 발견,중국,
