index,ISBN,제목,상품명,저자,출판사,설명,국가,장르
11,9791159319013,행복한 죽음,행복하다 죽음,알베르 까뮈 김화영,책세상,알베르 카뮈 탄생 110 주년 2023년 맞다 새롭다 장정 번역 선보이다 책 세상 카뮈 전집 개정판 5 권 카뮈 1936년 1938년 사이 구상 집필 카뮈 사후 1971년 세상 빛 카뮈 실질 데뷔 이자 이방인 모태 소설 결혼 여름 초기 산문 볼 청년 카뮈 에피소드 활용 돼다 카뮈 애독자 귀중하다 선물 작품,프랑스,
12,9788956608846,낭만적 연애와 그 후의 일상,낭만 연애 그 후의 일상,알랭 드 보통 김한영,은행나무,알랭 드 보통 21년 장편 소설 소설 쓸다 거 고 물다 전 항상 사랑 쓸다 충분하다 생기 대답 사랑 이루어지다 나다 연인 벌어지다 알랭 드 보통 21년 내놓다 소설 결혼 커플 삶 통해 일상 범주 들어오다 사랑 통찰 열렬하다 사랑 고백 영원 약속 연인 순간 상대 유일 무 이함 구심 품다 마련 애초 사랑 낭만 주의 결론 사랑 자체 존재 비관 론 결론 지체 알랭 드 보통 사랑 어떻다 지속 가능하다 인지 현실 논의 펼치다,프랑스,
13,9791194591627,초판본 페스트,초 판본 페스트,알베르 카뮈 변광배,더스토리,질병 맞서다 인간 초적 본능 노벨 문학상 수상 작가 알베르 카뮈 바이러스 싸우다 2020년 인간 던지다 해법 죽음 앞 인류 직무 태만 꼬집다 걸작 가디언 노벨문학상 수상작 알베르 카뮈 대표 작 사회 부조리 묘사 인간 심리 묘사 걸작 페스트 늘다 이방인 시지프 신화 널리 알려지다 노벨 문학상 수상작 알베르 카뮈 대표 작 페스트 늘다 페스트 창궐 위기 빠지다 오랑 시 시민 보여주다 다양하다 삶 방식 연대기 작품 문학 형상 페스트 늘다 분명 질병 작품 집필 배경 고려 페스트 늘다 질병 동시 전쟁 나치즘 상징 리 외가 지적 페스트 늘다 돌아오다 라면 페스트 가다 갖다 상징 의미 병리 사회 역사 의미,프랑스,
14,9788937461446,연인,연인,마르그리트 뒤라스 김인환,민음사,프랑스 현대 문학 대표 여성 작가 마르 리트 뒤라스 공쿠르 상 수상작 이자 뒤라스 겪다 베트남 가난하다 어리다 시절 중국인 남자 광기 서린 사랑 섬세하다 생생하다 묘사 되살리다 내다 자전 소설 가난하다 환경 절망 무기 해진 어머니 어머니 편애 받다 마약 노름 빠지다 난폭하다 크다 오빠 늘 크다 오빠 시달리다 나약하다 작다 오빠 비정상 가족 혐오 더하다 갈수록 소녀 늘다 중국인 남자 관계 더욱 몰입 관계 광 욕망 공,프랑스,
15,9788974431143,나무를 심은 사람,나무 심다 사람,장 지오노 최수연 그림 김경온,두레,전 세계 25 개 언어 번역 세계 베스트셀러 문명 환경 심각하다 위기 속 나아가다 방향 가르치다 사람과 세상 변화 감동 가슴 따다 소설 국내 대표 삽화가 최수연 아름답다 컬러 삽화 펴내다 개정판 문학 향기 메시지 어우러지다 편의 탁월하다 우화 소설 희망 심다 행복 가꾸다 메 마르고 황폐 땅 홀로 수십 나무 심다 황무지 생명 살 숨쉬다 숲 바꾸다 작가 경험 바탕 첫 원고 쓸다 뒤 20 다듬다 완성 작품 1953년 처음 발표 이렇다 25 개 언어 번역 되어다 세계 널리 읽히다 짧다 작품 깊다 감동 울림 주다 이유 깊다 문학 향기 더불다 강력하다 메시지 전,프랑스,
16,9791194591399,초판본 야간 비행,초 판본 야간 비행,앙투안 드 생텍쥐페리 윤정임,더스토리,1931년 페미 문학상 수상 어리다 왕자 작가 생텍쥐페리 두 대표 작 야간 비행 노벨 문학상 수상작 앙드레 지드 서문 수록 진정하다 모험가 생텍쥐페리 써다 내다 21 세기 새롭다 영웅 서사시 한계 역경 비극 맞서다 싸우다 인간 고귀하다 1931년 추다 간 생텍쥐페리 두 소설 야간 비행 은 발표 독자 평단 호평 받다 페미 Femina 상 수상하다 작품 문호 앙드레 지드 찬탄 더욱 빛 발 전 세계 번역 되어다 1933년 영화로 제작 되어다 생텍쥐페리 1920년 공군 입대 조종사 훈련 받다 1926년 프랑스 항공사 입사 1929년 아르헨티나 야간 항로 개발 참여 당시 경험 통 작품 탄생,프랑스,
17,9791189356934,자살,자살,에두아르 르베 한국화,워크룸프레스,프랑스 작가 에두 아르 르베 자살 한국 옮기다 워 크룸 문학 총서 제안 31 권 추다 간 되어다 사진 글 주요 매체 삼다 활동 에두 아르 르베 개념 작업 몰두하다 작다 영향 준 예술가 이름 전화번호부 찾다 찍다 유럽 도시 이름 미국 도시 촬영 전형 인물 포즈 회화 꿈속 장면 현실 사진 재다 성하다 2002년 533 개 작품 아이디어 모으다 작품 추다 가다 문학 가로서다 이력 시작 책 자살 은 에두 아르 르베 자살 이듬해 추다 간 책 자살 며칠 전 송고 글,프랑스,
18,9791197153327,나만의 필사책 어린 왕자,나 필사 책 어리다 왕자,앙투안 드 생텍쥐페리 박선주,마음시선,손글씨 그림 세상 단 어리다 왕자 만나다 마음 다해 쓰다 글씨 필사 책 시리즈 첫 책 필사 책 시리즈 친구 자녀 내 곁 소중하다 선물 싶다 책 만들다 싶다 출발 책 어렵다 취향 늘다 편견 깨 트리 더 많다 책 편하다 쉬다 접 바라다 마음 친숙하다 어리다 왕자 필사 책 만들다 독서 처음 시작 편안하다 느끼다 책 전체 따뜻하다 색감 사용 글씨 써다 장 비치다 적다 두껍다 본문 종이 사용 아름답다 삽화 따르다 그릴 그림 들어가다 곳 칸 크게 비우다 두다 하루 페이지 부담 따르다 쓸다 페이지 끝나다 곳 맺음말 편집,프랑스,
19,9788984374942,미로 속 아이,미로 속 아이,기욤 뮈소 양영란,밝은세상,기욤 뮈소 데뷔 20 주년 기념 작 미로 속 추다 간 범인 예측 불가 영역 서스펜스 마스터 기욤 뮈소 2024년 신작 프랑스 베스트셀러 1 위 기욤 뮈소 작가 데뷔 지다 20년 되어다 미로 속 늘다 기욤 뮈소 데뷔 20 주년 기념 작 작가 고향 앙티브 새롭다 소설 추다 간과 더불다 쌓다 온 업적 기리 행사 열리다 기욤 뮈소 데뷔 20 주년 기념 작 추다 간 발 맞추다 앙티브 이름 따다 학교 문 열다 프랑스 언론 대적 인터뷰 릴레이 벌이 20년 남기다 발자취 조명 매년 르 피가로 오다 프랑스 서점 연합 회 조사 베스트셀러 작가 순위 8년 연속 1 위 기록 기욤 뮈소 소설 지난 20년 프랑스 이루다 못 성과 남기다,프랑스,공포 스릴러
20,9788937454769,내 식탁 위의 개,내 식탁 위 개,클로디 윈징게르 김미정,민음사,2022년 페미 상 수상작 눈가 눈물 맺힌 채 도 끄다 떡 글 쓴다 숲속 늙다 부부 앞 나타나다 학대 개 마리 개 가르치다 준 광대하다 세계 세계 사랑 법 관 세상 멀리 떨어지다 숲속 단둘 살아가다 늙다 부부 앞 날 학대 개 마리 나타나다 두 일상 마음 일어나다 변화 감동 그린 2022년 페미 상 수상작 내 식탁 위 개 가다 민음사 추다 간 되어다 저자 크다 로디 윈징게르 올해 세 살의 작가 이자 조형 예술가 한국 처음 소개 70 세라 늦다 나이 소설가 데뷔 1970년 알자스 지방 보주 산맥 방부 숲 삶 책 발표 관련 일련 조형 예술 활동 활발하다 해 온 프랑스 유명하다 예술가,프랑스,
