genre,title,duration,url
"공포, 스릴러","[𝙋𝙡𝙖𝙮𝙡𝙞𝙨𝙩] 소설 읽을 때, 글 쓸때 듣는 과몰입 플리 1시간 반복",1시간 1분 25초,https://www.youtube.com/watch?v=SLQ6eG5jlks
"공포, 스릴러",Ryan Choi - Dellage 1hour(신비스럽고 어두운 음악/글쓸때 듣기 좋은 음악/BGM),1시간 4분 24초,https://www.youtube.com/watch?v=r5QrJ23lxt8
"공포, 스릴러",𝙋𝙡𝙖𝙮𝙡𝙞𝙨𝙩 📚About a Certain Place in the Kinki Region | 😱🫣 Too Scary to Finish,1시간 12분 19초,https://www.youtube.com/watch?v=Y2bzr6NzGyM
"공포, 스릴러",[𝐩𝐥𝐚𝐲𝐥𝐢𝐬𝐭] 추리소설 읽을때 듣기 좋은 브금 | 미스터리 음악 |,35분 57초,https://www.youtube.com/watch?v=0E7x3BtouHg
판타지,"[𝙋𝙡𝙖𝙮𝙡𝙞𝙨𝙩] 소설 읽을 때, 글 쓸때 듣는 과몰입 플리 1시간 반복",1시간 1분 25초,https://www.youtube.com/watch?v=SLQ6eG5jlks
판타지,"Playlist | 눈을 떠보니, 판타지 소설 속이었다 I Woke Up Inside a Fantasy Novel",1시간 33분 59초,https://www.youtube.com/watch?v=VRfbFDUybRU
판타지,𝐩𝐥𝐚𝐲𝐥𝐢𝐬𝐭 I Music without lyrics that is good to listen to while reading a book,1시간 1분 2초,https://www.youtube.com/watch?v=n2Y5eRTo4vI
판타지,"판타지 소설 읽을 때, 글 쓸 때 듣는 음악 | 1시간 반복 playlist",51분 29초,https://www.youtube.com/watch?v=6zpP5GYsRRY
판타지,[Fairytale-like BGM] Healing New Age Piano / Fantasy BGM / Rinne Music Collection,2시간 32분 58초,https://www.youtube.com/watch?v=9FXmwYzW1eo
판타지,"A collection of emotional piano music for dawn, very sad music, music for reading and studying.",3시간 10분 8초,https://www.youtube.com/watch?v=h4-3HLJ6w8g
판타지,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 | 책읽을 때 듣는 잔잔한 애니ost / JPOP 피아노 모음,1시간 34분 54초,https://www.youtube.com/watch?v=BpJCvXttnPk
판타지,"[과몰입 ver] 소설 읽을 때, 글 쓸 때 듣기 좋은 피아노 플리 | Playlist |  사극판타지 | 영감",1시간 3분 30초,https://www.youtube.com/watch?v=zyuh4ihXRmo
판타지,Romance Fantasy Style BGM Study Graceful Strings Piano BGM,3시간 6분 6초,https://www.youtube.com/watch?v=rI3FLAkX2aU
판타지,Whispers from the Forest l Whimsical fantasy playlist,1시간 55분 55초,https://www.youtube.com/watch?v=3VsPikIy590
SF,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭  서로가 서로에게 별이 되는 거리, 가사 없는 음악",1시간,https://www.youtube.com/watch?v=_XFeRhG3gow
SF,[독서용] SF소설을 읽는 밤,48분 38초,https://www.youtube.com/watch?v=qLWaMZ1DwCY
SF,"[𝙋𝙡𝙖𝙮𝙡𝙞𝙨𝙩] 소설 읽을 때, 글 쓸때 듣는 과몰입 플리 1시간 반복",1시간 1분 25초,https://www.youtube.com/watch?v=SLQ6eG5jlks
SF,귀환 | 포스트 아포칼립스 - 우주 감성 앰비언트 8곡 플레이리스트,35분 29초,https://www.youtube.com/watch?v=jTOcPBhs3R4
SF,𝐩𝐥𝐚𝐲𝐥𝐢𝐬𝐭 I Music without lyrics that is good to listen to while reading a book,1시간 1분 2초,https://www.youtube.com/watch?v=n2Y5eRTo4vI
SF,Ryan Choi - Dellage 1hour(신비스럽고 어두운 음악/글쓸때 듣기 좋은 음악/BGM),1시간 4분 24초,https://www.youtube.com/watch?v=r5QrJ23lxt8
SF,"[브금브금] 모험 탐험 미스테리 추리소설 읽을 때, 쓸 때 과몰입 서스펜스브금",56분 59초,https://www.youtube.com/watch?v=Kbkk07ebJu4
SF,Playlist l 돌아가고 싶은 세상이 있었다,1시간 4분 6초,https://www.youtube.com/watch?v=oY5Rfs_uEbU
